Job Title,Salary,Experience Level
Data Engineer,124740.0,SE
Data Engineer,120470.0,MI
Data Engineer,86330.0,MI
Consultant,130800.0,SE
Consultant,79300.0,SE
Software Engineer,264200.0,SE
Software Engineer,143100.0,SE
Quantitative Researcher,141600.0,MI
Quantitative Researcher,85000.0,MI
Power BI Architect,140000.0,SE
Power BI Architect,80000.0,SE
Data Analyst,80000.0,EN
Data Analyst,65000.0,EN
Manager,132324.0,MI
Manager,75395.0,MI
Research Scientist,173000.0,SE
Research Scientist,112500.0,SE
Data Analyst,75000.0,EN
Data Analyst,75000.0,EN
Data Analyst,95000.0,SE
Data Analyst,90000.0,SE
Data Scientist,250500.0,SE
Data Scientist,173400.0,SE
Applied Scientist,222200.0,MI
Applied Scientist,136000.0,MI
Machine Learning Engineer,222000.0,MI
Machine Learning Engineer,125000.0,MI
Applied Scientist,222200.0,MI
Applied Scientist,136000.0,MI
Applied Scientist,222200.0,MI
Applied Scientist,136000.0,MI
Applied Scientist,260000.0,SE
Applied Scientist,150400.0,SE
Business Intelligence Engineer,185000.0,SE
Business Intelligence Engineer,89600.0,SE
Solutions Architect,239000.0,SE
Solutions Architect,138200.0,SE
Data Analyst,142500.0,EN
Data Analyst,114000.0,EN
Software Engineer,195000.0,SE
Software Engineer,155000.0,SE
Product Manager,180000.0,SE
Product Manager,160000.0,SE
Data Engineer,165000.0,SE
Data Engineer,137400.0,SE
AI Engineer,178600.0,SE
AI Engineer,88600.0,SE
Research Scientist,205700.0,MI
Research Scientist,150000.0,MI
Robotics Engineer,289800.0,SE
Robotics Engineer,201600.0,SE
Manager,189000.0,SE
Manager,123000.0,SE
Engineer,277500.0,SE
Engineer,158500.0,SE
Data Analyst,98000.0,EN
Data Analyst,98000.0,EN
Data Analyst,191000.0,SE
Data Analyst,162350.0,SE
Data Analyst,120000.0,MI
Data Analyst,111000.0,MI
Cloud Database Engineer,135300.0,SE
Cloud Database Engineer,116100.0,SE
Software Engineer,259000.0,SE
Software Engineer,204000.0,SE
Applied Scientist,250000.0,SE
Applied Scientist,180000.0,SE
Data Scientist,175000.0,MI
Data Scientist,140000.0,MI
Data Scientist,175000.0,MI
Data Scientist,140000.0,MI
Data Scientist,192000.0,SE
Data Scientist,130900.0,SE
Data Scientist,254000.0,SE
Data Scientist,177900.0,SE
Data Scientist,150000.0,SE
Data Scientist,80000.0,SE
Data Scientist,230000.0,SE
Data Scientist,140000.0,SE
Machine Learning Engineer,250000.0,SE
Machine Learning Engineer,160000.0,SE
Machine Learning Engineer,355000.0,SE
Machine Learning Engineer,190000.0,SE
Machine Learning Engineer,160000.0,SE
Machine Learning Engineer,100000.0,SE
Machine Learning Engineer,370000.0,SE
Machine Learning Engineer,220000.0,SE
Machine Learning Engineer,270000.0,SE
Machine Learning Engineer,175000.0,SE
Machine Learning Engineer,270000.0,SE
Machine Learning Engineer,235000.0,SE
Machine Learning Engineer,260000.0,SE
